Date,Open,High,Low,Close,Adj Close,Volume,NextClose,Num
2019-06-17,75.080002,75.43,74.540001,75.269997,75.269997,2929000,76.440002,1
2019-06-18,75.940002,77.129997,75.550003,76.440002,76.440002,4995900,78.279999,2
2019-06-19,76.339996,78.5,76.339996,78.279999,78.279999,3377800,77.93,3
2019-06-20,79.110001,79.260002,77.150002,77.93,77.93,3339500,75.699997,4
2019-06-21,77.709999,77.75,75.199997,75.699997,75.699997,5223900,75.540001,5
2019-06-24,76.019997,76.550003,75.379997,75.540001,75.540001,2123000,74.580002,6
2019-06-25,75.470001,75.5,74.449997,74.580002,74.580002,2593900,73.040001,7
2019-06-26,74.279999,74.400002,72.769997,73.040001,73.040001,4393300,73.290001,8
2019-06-27,73.449997,73.720001,72.919998,73.290001,73.290001,2319600,74.139999,9
2019-06-28,73.290001,74.489998,72.900002,74.139999,74.139999,4117800,74.150002,10
2019-07-01,74.669998,74.669998,73.919998,74.150002,74.150002,2226100,75.480003,11
2019-07-02,74.400002,75.779999,73.919998,75.480003,75.480003,2871700,75.82,12
2019-07-03,75.889999,77.029999,75.599998,75.82,75.82,2080900,76.230003,13
2019-07-05,75.830002,76.43,75.629997,76.230003,76.230003,1318500,75.629997,14
2019-07-08,76.370003,76.389999,75.43,75.629997,75.629997,1667300,75.150002,15
2019-07-09,75.349998,75.830002,75.080002,75.150002,75.150002,3553000,78.629997,16
2019-07-10,77.959999,78.949997,77.57,78.629997,78.629997,14441200,78.260002,17
2019-07-11,78.730003,78.879997,76.949997,78.260002,78.260002,10108700,79.449997,18
2019-07-12,78.199997,79.730003,78.010002,79.449997,79.449997,63068400,79.309998,19
2019-07-15,79.669998,80,78.589996,79.309998,79.309998,6189800,79.040001,20
2019-07-16,79.349998,79.589996,78.830002,79.040001,79.040001,5234900,78.93,21
2019-07-17,79.230003,79.459999,78.900002,78.93,78.93,3238100,77.970001,22
2019-07-18,78.779999,79.07,77.269997,77.970001,77.970001,6471700,77.43,23
2019-07-19,77.989998,77.989998,76.940002,77.43,77.43,5311800,77.660004,24
2019-07-22,77.800003,78.660004,77.269997,77.660004,77.660004,4694700,78.139999,25
2019-07-23,77.739998,78.160004,76.949997,78.139999,78.139999,3507800,80.610001,26
2019-07-24,79.199997,81.57,78.830002,80.610001,80.610001,10198400,79.910004,27
2019-07-25,81.360001,81.410004,79.709999,79.910004,79.910004,5501600,84.25,28
2019-07-26,81.099998,85.220001,80.949997,84.25,84.25,12333200,82.379997,29
2019-07-29,84.629997,84.790001,81.919998,82.379997,82.379997,5858900,81.300003,30
2019-07-30,81.699997,82.330002,81.019997,81.300003,81.300003,5285000,79.730003,31
2019-07-31,81.220001,81.650002,78.949997,79.730003,79.730003,4596600,79.309998,32
2019-08-01,79.989998,80.309998,78.769997,79.309998,79.309998,4761400,77.730003,33
2019-08-02,79.389999,79.389999,76.790001,77.730003,77.730003,5428000,76.190002,34
2019-08-05,76.849998,77,75.620003,76.190002,76.190002,4046200,77.279999,35
2019-08-06,76.510002,77.32,75.970001,77.279999,77.279999,4010400,76.480003,36
2019-08-07,76.489998,76.800003,75.269997,76.480003,76.480003,3492700,77.900002,37
2019-08-08,76.940002,78.059998,76.830002,77.900002,77.900002,3023400,77.519997,38
2019-08-09,77.599998,78.209999,77.010002,77.519997,77.519997,2698600,76.940002,39
2019-08-12,77.07,77.610001,76.769997,76.940002,76.940002,1888200,77.620003,40
2019-08-13,76.93,78.260002,76.779999,77.620003,77.620003,2541600,76.93,41
2019-08-14,76.769997,77.379997,76.110001,76.93,76.93,2900800,77.269997,42
2019-08-15,76.470001,77.800003,76.199997,77.269997,77.269997,2582100,77.75,43
2019-08-16,77.989998,78.25,77.459999,77.75,77.75,3094600,78.230003,44
2019-08-19,78.260002,78.5,77.720001,78.230003,78.230003,1697300,77.68,45
2019-08-20,77.980003,78.239998,77.639999,77.68,77.68,1856000,78.18,46
2019-08-21,78.07,78.309998,77.769997,78.18,78.18,1221500,77.790001,47
2019-08-22,78.309998,78.419998,77.510002,77.790001,77.790001,2010900,76.480003,48
2019-08-23,77.639999,78.25,76.120003,76.480003,76.480003,2883800,78.059998,49
2019-08-26,77,78.07,76.68,78.059998,78.059998,1735900,77.120003,50
2019-08-27,77.699997,78.099998,77.019997,77.120003,77.120003,1871900,77.059998,51
2019-08-28,76.93,77.370003,76.279999,77.059998,77.059998,2035600,78.010002,52
2019-08-29,77.870003,78.410004,77.400002,78.010002,78.010002,1389900,78.050003,53
2019-08-30,78.379997,78.379997,77.790001,78.050003,78.050003,1701100,77.129997,54
2019-09-03,77.900002,77.940002,77,77.129997,77.129997,1752700,77.610001,55
2019-09-04,77.510002,77.839996,77.019997,77.610001,77.610001,1876500,77.830002,56
2019-09-05,78.220001,78.57,77.559998,77.830002,77.830002,1963000,79.150002,57
2019-09-06,77.959999,79.169998,77.849998,79.150002,79.150002,2930500,79.129997,58
2019-09-09,79.330002,79.470001,78.589996,79.129997,79.129997,2514400,78.379997,59
2019-09-10,78.779999,78.779999,77.940002,78.379997,78.379997,2254200,79.739998,60
2019-09-11,78.389999,79.769997,78.209999,79.739998,79.739998,2412200,79.690002,61
2019-09-12,79.879997,80.599998,79.389999,79.690002,79.690002,2005900,79.400002,62
2019-09-13,80.089996,80.089996,79.029999,79.400002,79.400002,1737700,79.559998,63
2019-09-16,78.959999,79.639999,78.739998,79.559998,79.559998,2178800,80.209999,64
2019-09-17,79.730003,80.550003,79.059998,80.209999,80.209999,2851800,80.120003,65
2019-09-18,80.209999,80.550003,79.580002,80.120003,80.120003,2200400,81,66
2019-09-19,80.720001,81.150002,80.540001,81,81,2257200,80.589996,67
2019-09-20,80.559998,80.849998,79.080002,80.589996,80.589996,7141600,79.959999,68
2019-09-23,80.019997,80.779999,79.809998,79.959999,79.959999,2361200,79.360001,69
2019-09-24,80.489998,80.489998,79.029999,79.360001,79.360001,3631000,79.809998,70
2019-09-25,79.529999,80.029999,78.860001,79.809998,79.809998,1957600,79,71
2019-09-26,79.970001,80.010002,78.959999,79,79,1902600,77.559998,72
2019-09-27,79.059998,79.150002,76.769997,77.559998,77.559998,3373400,78.769997,73
2019-09-30,77.870003,79.089996,77.620003,78.769997,78.769997,2191100,78.199997,74
2019-10-01,78.879997,79.370003,78,78.199997,78.199997,2803500,76.410004,75
2019-10-02,77.599998,77.970001,75.82,76.410004,76.410004,3282000,77.029999,76
2019-10-03,76.599998,77.410004,76.019997,77.029999,77.029999,2321600,77.989998,77
2019-10-04,76.959999,78.07,76.959999,77.989998,77.989998,1838400,78.480003,78
2019-10-07,77.629997,78.68,77.629997,78.480003,78.480003,1908200,77.610001,79
2019-10-08,77.779999,78.139999,77.360001,77.610001,77.610001,2308700,77.790001,80
2019-10-09,78.110001,78.279999,77.309998,77.790001,77.790001,1967200,78.300003,81
