Date,Open,High,Low,Close,Adj Close,Volume
6/17/2019,75.080002,75.43,74.540001,75.269997,75.269997,2929000
6/18/2019,75.940002,77.129997,75.550003,76.440002,76.440002,4995900
6/19/2019,76.339996,78.5,76.339996,78.279999,78.279999,3377800
6/20/2019,79.110001,79.260002,77.150002,77.93,77.93,3339500
6/21/2019,77.709999,77.75,75.199997,75.699997,75.699997,5223900
6/24/2019,76.019997,76.550003,75.379997,75.540001,75.540001,2123000
6/25/2019,75.470001,75.5,74.449997,74.580002,74.580002,2593900
6/26/2019,74.279999,74.400002,72.769997,73.040001,73.040001,4393300
6/27/2019,73.449997,73.720001,72.919998,73.290001,73.290001,2319600
6/28/2019,73.290001,74.489998,72.900002,74.139999,74.139999,4117800
7/1/2019,74.669998,74.669998,73.919998,74.150002,74.150002,2226100
7/2/2019,74.400002,75.779999,73.919998,75.480003,75.480003,2871700
7/3/2019,75.889999,77.029999,75.599998,75.82,75.82,2080900
7/5/2019,75.830002,76.43,75.629997,76.230003,76.230003,1318500
7/8/2019,76.370003,76.389999,75.43,75.629997,75.629997,1667300
7/9/2019,75.349998,75.830002,75.080002,75.150002,75.150002,3553000
7/10/2019,77.959999,78.949997,77.57,78.629997,78.629997,14441200
7/11/2019,78.730003,78.879997,76.949997,78.260002,78.260002,10108700
7/12/2019,78.199997,79.730003,78.010002,79.449997,79.449997,63068400
7/15/2019,79.669998,80,78.589996,79.309998,79.309998,6189800
7/16/2019,79.349998,79.589996,78.830002,79.040001,79.040001,5234900
7/17/2019,79.230003,79.459999,78.900002,78.93,78.93,3238100
7/18/2019,78.779999,79.07,77.269997,77.970001,77.970001,6471700
7/19/2019,77.989998,77.989998,76.940002,77.43,77.43,5311800
7/22/2019,77.800003,78.660004,77.269997,77.660004,77.660004,4694700
7/23/2019,77.739998,78.160004,76.949997,78.139999,78.139999,3507800
7/24/2019,79.199997,81.57,78.830002,80.610001,80.610001,10198400
7/25/2019,81.360001,81.410004,79.709999,79.910004,79.910004,5501600
7/26/2019,81.099998,85.220001,80.949997,84.25,84.25,12333200
7/29/2019,84.629997,84.790001,81.919998,82.379997,82.379997,5858900
7/30/2019,81.699997,82.330002,81.019997,81.300003,81.300003,5285000
7/31/2019,81.220001,81.650002,78.949997,79.730003,79.730003,4596600
8/1/2019,79.989998,80.309998,78.769997,79.309998,79.309998,4761400
8/2/2019,79.389999,79.389999,76.790001,77.730003,77.730003,5428000
8/5/2019,76.849998,77,75.620003,76.190002,76.190002,4046200
8/6/2019,76.510002,77.32,75.970001,77.279999,77.279999,4010400
8/7/2019,76.489998,76.800003,75.269997,76.480003,76.480003,3492700
8/8/2019,76.940002,78.059998,76.830002,77.900002,77.900002,3023400
8/9/2019,77.599998,78.209999,77.010002,77.519997,77.519997,2698600
8/12/2019,77.07,77.610001,76.769997,76.940002,76.940002,1888200
8/13/2019,76.93,78.260002,76.779999,77.620003,77.620003,2541600
8/14/2019,76.769997,77.379997,76.110001,76.93,76.93,2900800
8/15/2019,76.470001,77.800003,76.199997,77.269997,77.269997,2582100
8/16/2019,77.989998,78.25,77.459999,77.75,77.75,3094600
8/19/2019,78.260002,78.5,77.720001,78.230003,78.230003,1697300
8/20/2019,77.980003,78.239998,77.639999,77.68,77.68,1856000
8/21/2019,78.07,78.309998,77.769997,78.18,78.18,1221500
8/22/2019,78.309998,78.419998,77.510002,77.790001,77.790001,2010900
8/23/2019,77.639999,78.25,76.120003,76.480003,76.480003,2883800
8/26/2019,77,78.07,76.68,78.059998,78.059998,1735900
8/27/2019,77.699997,78.099998,77.019997,77.120003,77.120003,1871900
8/28/2019,76.93,77.370003,76.279999,77.059998,77.059998,2035600
8/29/2019,77.870003,78.410004,77.400002,78.010002,78.010002,1389900
8/30/2019,78.379997,78.379997,77.790001,78.050003,78.050003,1701100
9/3/2019,77.900002,77.940002,77,77.129997,77.129997,1752700
9/4/2019,77.510002,77.839996,77.019997,77.610001,77.610001,1876500
9/5/2019,78.220001,78.57,77.559998,77.830002,77.830002,1963000
9/6/2019,77.959999,79.169998,77.849998,79.150002,79.150002,2930500
9/9/2019,79.330002,79.470001,78.589996,79.129997,79.129997,2514400
9/10/2019,78.779999,78.779999,77.940002,78.379997,78.379997,2254200
9/11/2019,78.389999,79.769997,78.209999,79.739998,79.739998,2412200
9/12/2019,79.879997,80.599998,79.389999,79.690002,79.690002,2005900
9/13/2019,80.089996,80.089996,79.029999,79.400002,79.400002,1737700
9/16/2019,78.959999,79.639999,78.739998,79.559998,79.559998,2178800
9/17/2019,79.730003,80.550003,79.059998,80.209999,80.209999,2851800
9/18/2019,80.209999,80.550003,79.580002,80.120003,80.120003,2200400
9/19/2019,80.720001,81.150002,80.540001,81,81,2257200
9/20/2019,80.559998,80.849998,79.080002,80.589996,80.589996,7141600
9/23/2019,80.019997,80.779999,79.809998,79.959999,79.959999,2361200
9/24/2019,80.489998,80.489998,79.029999,79.360001,79.360001,3631000
9/25/2019,79.529999,80.029999,78.860001,79.809998,79.809998,1957600
9/26/2019,79.970001,80.010002,78.959999,79,79,1902600
9/27/2019,79.059998,79.150002,76.769997,77.559998,77.559998,3373400
9/30/2019,77.870003,79.089996,77.620003,78.769997,78.769997,2191100
10/1/2019,78.879997,79.370003,78,78.199997,78.199997,2803500
10/2/2019,77.599998,77.970001,75.82,76.410004,76.410004,3282000
10/3/2019,76.599998,77.410004,76.019997,77.029999,77.029999,2321600
10/4/2019,76.959999,78.07,76.959999,77.989998,77.989998,1838400
10/7/2019,77.629997,78.68,77.629997,78.480003,78.480003,1908200
10/8/2019,77.779999,78.139999,77.360001,77.610001,77.610001,2308700
10/9/2019,78.110001,78.279999,77.309998,77.790001,77.790001,1967200
10/10/2019,77.720001,78.489998,77.029999,78.300003,78.300003,2393300
10/11/2019,78.660004,80.029999,78.550003,79.529999,79.529999,2070000
10/14/2019,79.529999,79.529999,78.57,78.629997,78.629997,1982300
10/15/2019,78.949997,79.940002,78.800003,79.739998,79.739998,1805000
10/16/2019,79.739998,80.18,79.599998,80.010002,80.010002,2261500
10/17/2019,80.449997,81.18,79.169998,81.050003,81.050003,3903800
10/18/2019,81.139999,82.330002,80.779999,81.599998,81.599998,3197200
10/21/2019,81.769997,82.529999,81.709999,82.089996,82.089996,2899400
10/22/2019,82.529999,82.57,81.650002,81.669998,81.669998,2141800
10/23/2019,81.440002,81.75,81.07,81.360001,81.360001,1256200
10/24/2019,81.25,81.629997,81.019997,81.480003,81.480003,1884900
